Name,Born,Height,Weight,Division,Reach,Style
Abdul Razak Alhassan,"(1985-08-11) August 11, 1985 (age 33)Accra, Ghana",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight Middleweight,73 in (185 cm),"Judo, Muay Thai[2]"
Jarred Brooks,"(1993-05-02) May 2, 1993 (age 26)Warsaw, Indiana, United States",5 ft 3 in (1.60 m),125.8 lb (57.1 kg; 8.99 st),Bantamweight Flyweight Strawweight,67 in (170 cm)[1],Not Available
Roberto Sanchez,"(1986-03-05) March 5, 1986 (age 33)",5 ft 6 in (1.68 m),56 kg (123 lb; 8 st 11 lb),Flyweight) (2015 — present),66[1] in (168 cm),BJJ
Jake Ellenberger,"Jacob Steven Ray Ellenberger (1985-03-28) March 28, 1985 (age 34)Omaha, Nebraska, United States",5 ft 9 in (175 cm),170 lb (77 kg; 12 st),Welterweight,71 in (180 cm)[1],Not Available
John Moraga,"(1984-03-20) March 20, 1984 (age 35)Phoenix, Arizona, United States",5 ft 6 in (1.68 m)[1],125 lb (57 kg; 8.9 st),Flyweight  Bantamweight  Featherweight,66 in (168 cm)[1],Not Available
James Krause,"James Leo Krause (1986-06-04) June 4, 1986 (age 33)Newport News, Virginia, U.S.",6 ft 2 in (188 cm)[1],155 lb (70 kg; 11 st 1 lb),Lightweight Welterweight,73 in (185 cm)[1],Not Available
Iuri Alcântara,"Iuri Alcântara (1980-08-04) August 4, 1980 (age 38)Marajó, Brazil",5 ft 9 in (1.75 m),135 lb (61 kg; 9.6 st),Bantamweight (2013-current)  Featherweight (2011-2012)  Lightweight (2004-2010) Welterweight (2010),71 in (180 cm)[1],Not Available
Markus Perez Echeimberg,"(1990-06-22) June 22, 1990 (age 29)Sao Paulo, Brazil",6 ft 2 in (1.88 m),185 lb (84 kg; 13 st 3 lb),Middleweight,73 in (185 cm),"Brazilian Jiu-Jitsu, Kung-Fu, Muay Thai"
George Sullivan,"(1981-03-13) March 13, 1981 (age 38)Red Bank, New Jersey, United States",6 ft 0 in (1.83 m)[1],170 lb (77 kg; 12 st 2 lb),Welterweight,73 1⁄2 in (187 cm),Not Available
Kalindra Faria,"Kalindra Carvalho Faria (1986-07-23) 23 July 1986 (age 32)Taubate, Sao Paulo, Brazil",5 ft 5 in (1.65 m),125 lb (57 kg; 8.9 st),Strawweight Flyweight Bantamweight,62 in (157 cm),"Muay Thai, Brazilian jiu-jitsu"
Jon Tuck,"Jonathan Cruz Tuck (1984-08-28) August 28, 1984 (age 34)Chalan Pago-Ordot, Guam",5 ft 11 in (1.80 m),156 lb (71 kg; 11.1 st),Lightweight,73 in (185 cm)[1],Not Available
JJ Aldrich,"(1992-09-29) September 29, 1992 (age 26)[1]Denver, Colorado, United States",5 ft 5 in (1.65 m),115 lb (52 kg; 8.2 st),Strawweight,64 in (163 cm),"Taekwondo, Boxing, BJJ"
Brett Johns,"Thomas Brett Johns (1992-02-21) February 21, 1992 (age 27)Swansea, Wales",5 ft 7 in (1.70 m),135.5 lb (61.5 kg; 9.68 st),Lightweight Featherweight Bantamweight,71.0 in (180 cm),Not Available
Danielle Taylor,"Danielle Zahid Taylor (1989-10-25) October 25, 1989 (age 29)Lancaster, California, United States",5 ft 0 in (1.52 m),Not Available,Strawweight  Flyweight,60 in (152 cm)[1],"Wrestling, Jujutsu, Boxing"
Eddie Alvarez,"(1984-01-11) January 11, 1984 (age 35)Philadelphia, Pennsylvania, United States",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11 st 1 lb),"Lightweight (155 lbs) (2007–2018) Welterweight (170 lbs) (2003–2007, 2018–present)[a]",69 in (180 cm)[2],"Boxing, Wrestling, Brazilian Jiu-Jitsu"
Jordan Mein,"(1989-10-10) October 10, 1989 (age 29)Lethbridge, Alberta, Canada",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,73.0 in (185 cm)[1],Not Available
Gadzhimurad Antigulov,"(1987-01-01) January 1, 1987 (age 32)Anapa, Russian SFSR, Soviet Union[1]",5 ft 11 in (1.80 m),93 kg (205 lb; 14 st 9 lb),Light Heavyweight,70 in (178 cm),"Freestyle Wrestling, Boxing, Sambo"
Matheus Nicolau,"Mathues Nicolau Pereira (1993-01-06) January 6, 1993 (age 26)Belo Horizonte, Minas Gerais, Brazil",5 ft 4 in (1.63 m)[1],125 lb (57 kg; 8.9 st),Flyweight  Bantamweight (2019–present),66 in (168 cm)[1],Brazilian Jiu-Jitsu
Devin Powell,"Devin Powell (1988-03-01) March 1, 1988 (age 31)Somersworth, New Hampshire, United States",6 ft 0 in (183 cm),155 lb (70 kg; 11 st 1 lb),Lightweight,74 in (188 cm),Not Available
Álvaro Herrera,"Álvaro Herrera Mendoza (1990-05-14) May 14, 1990 (age 29)Guadalajara, Jalisco, Mexico[1]",6 ft 0 in (1.83 m),70.5 kg (155 lb; 11 st 1 lb),WelterweightLightweight,74 in (188 cm)[1],Not Available
Emil Weber Meek,"Emil Weber Meek (1988-08-20) August 20, 1988 (age 30)Trondheim, Norway",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight,74.5 in (189 cm)[1],Not Available
Davey Grant,"(1985-12-18) 18 December 1985 (age 33)Bishop Auckland, County Durham, England",5 ft 8 in (173 cm),61 kg (134 lb; 9 st 8 lb),Bantamweight,"69 in<ref=""auto"">""Davey Grant - Official UFC® Fighter Profile"". web.archive.org. 2018-09-09. Retrieved 2019-06-25..mw-parser-output cite.citation{font-style:inherit}.mw-parser-output .citation q{quotes:""\""""""\""""""'""""'""}.mw-parser-output .citation .cs1-lock-free a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .citation .cs1-lock-subscription a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-ws-icon a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:inherit;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-maint{display:none;color:#33aa33;margin-left:0.3em}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration,.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}</ref>","Boxing, BJJ"
Damian Stasiak,"(1990-02-20) February 20, 1990 (age 29)Zgierz, Poland",5 ft 5 in (1.65 m)[1],135 lb (61 kg; 9.6 st),Bantamweight  Featherweight,70 in (178 cm),Not Available
Sage Northcutt,"Sage Monroe Northcutt (1996-03-01) March 1, 1996 (age 23)",6 ft 0 in (1.83 m)[1][2],170 lb (77 kg; 12 st 2 lb),LightweightWelterweight,71 1⁄2 in (182 cm)[3][4],"Kajukenbo, Karate, Taekwondo, Kickboxing, Brazilian Jiu-Jitsu"
Daniel Cormier,"Daniel Ryan Cormier (1979-03-20) March 20, 1979 (age 40)Lafayette, Louisiana, U.S.",5 ft 11 in (180 cm),258 lb (117 kg; 18.4 st),"Heavyweight(2009–2013, 2018–present)Light Heavyweight (2014–2018)",72 in (183 cm)[1],Wrestling
Gökhan Saki,"(1983-10-19) October 19, 1983 (age 35)Schiedam, Netherlands",6 ft 0 in (1.83 m),93 kg (205 lb; 14 st 9 lb),HeavyweightLight heavyweight,73 in (185 cm),"Kickboxing, Muay Thai"
Paulo Costa,"(1991-04-21) April 21, 1991 (age 28)Belo Horizonte, Minas Gerais, Brazil",6 ft 0 in (1.83 m),185.5 lb (84.1 kg; 13.25 st),Middleweight,72 in (183 cm),Not Available
Jamie Moyle,"(1989-03-17) March 17, 1989 (age 30)Riverside, CA, United States",5 ft 1 in (1.55 m),115 lb (52 kg; 8.2 st),Strawweight,Not Available,Not Available
Brad Tavares,"Bradley Kaipo Sarbida Tavares (1987-12-21) December 21, 1987 (age 31)Kailua, Hawaii, U.S.",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),Middleweight,74 in (188 cm)[1],Not Available
Martín Bravo,"(1993-09-21) 21 September 1993 (age 25)Rosartio, Baja California, Mexico",5 ft 8 in (1.73 m),145.5 lb (66.0 kg; 10.39 st),Lightweight FeatherweightBantamweight,71 1⁄2 in (182 cm),Not Available
Barb Honchak,"(1979-08-30) August 30, 1979 (age 39)Edwardsville, Illinois, United States",5 ft 4 in (1.63 m),125 lb (57 kg; 8.9 st),Flyweight,66 in (168 cm)[1],Not Available
Matt Bessette,"Matthew James Bessette (1984-12-28) December 28, 1984 (age 34)[1]Hartford, Connecticut, United States",5 ft 10 in (1.78 m),145 lb (66 kg; 10.4 st),Featherweight  Lightweight,67 in (170 cm),Not Available
Oskar Piechota,"(1990-01-24) 24 January 1990 (age 29)Gdansk, Poland",6 ft 0 in (1.83 m),83 kg (183 lb; 13 st 1 lb),Middleweight,76[1] in (193 cm),Not Available
Jessica-Rose Clark,"Jessica-Rose Clark (1987-11-28) 28 November 1987 (age 31)Cairns, Australia",5 ft 4 in (1.63 m),135 lb (61 kg; 9.6 st),Bantamweight,66 in (168 cm),"Boxing, Kickboxing, Wrestling, Brazilian Jiu-Jitsu"
Daichi Abe,"(1991-11-27) 27 November 1991 (age 27)Niigata Prefecture, Japan[1]",5 ft 11 in (1.80 m),83 kg (183 lb; 13 st 1 lb),Welterweight,71 in (180 cm),Not Available
Felipe Arantes,"(1988-02-09) February 9, 1988 (age 31)Sao Paulo, Brazil",5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),Bantamweight (125–135 Ib)Featherweight (135–145 Ib),73 in (185 cm)[1],Not Available
Rolando Dy,"Rolando Gabriel Dy Jr. (1991-08-11) August 11, 1991 (age 27)Parañaque, Philippines",5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),Featherweight,69 1⁄2 in (177 cm),"Boxing, Muay Thai, Brazilian Jiu-Jitsu"
Shinsho Anzai,"Shinsho Anzai (1985-12-01) December 1, 1985 (age 33)Saitama, Japan",5 ft 7 in (1.70 m),171 lb (78 kg; 12 st 3 lb),Welterweight MiddleweightLight Heavyweight,70 1⁄2 in (179 cm),Not Available
Viviane Pereira,"(1993-08-28) August 28, 1993 (age 25)Tauá, Ceará, Brazil[1]",5 ft 0 in (1.52 m),52 kg (115 lb; 8 st 3 lb),Strawweight,63 in (160 cm),"Boxing, Wrestling, BJJ"
Naoki Inoue,"井上直樹 (1997-06-14) June 14, 1997 (age 22)Toyohashi, Aichi, Japan",5 ft 8 in (1.73 m),125 lb (57 kg; 8.9 st),Flyweight,71 in (180 cm),Not Available
Jenel Lausa,"(1988-08-01) August 1, 1988 (age 30)Iloilo City, Philippines",5 ft 5 in (1.65 m),125 lb (57 kg; 8.9 st),Flyweight (115–125 Ibs),Not Available,Not Available
Yoel Romero,"Yoel Romero Palacio (1977-04-30) April 30, 1977 (age 42)[1]Pinar del Río, Cuba",5 ft 10 in (178 cm),185 lb (84 kg; 13.2 st),Light Heavyweight (185—205 Ib) (2009—2011)Middleweight  (170—185 Ib) (2013—present),73 1⁄2 in (187 cm),"Freestyle Wrestling, Kickboxing"
Colby Covington,"Colby Covington (1988-02-22) February 22, 1988 (age 31)Clovis, California, United States",5 ft 11 in (1.80 m)[1],169 lb (77 kg; 12 st 1 lb),Welterweight,72 in (183 cm)[2],Not Available
Rashad Evans,"Rashad Anton Evans (1979-09-25) September 25, 1979 (age 39)Niagara Falls, New York, United States",5 ft 11 in (1.80 m)[1],205 lb (93 kg; 14 st 9 lb),"Middleweight (2017) Light Heavyweight (2004–2016, 2018) Heavyweight (2005)",75 in (191 cm),"Wrestling, Gaidojutsu"
Daniel Spitz,"(1990-07-31) July 31, 1990 (age 28)Spokane, Washington, United States[1]",6 ft 7 in (2.01 m),110.5 kg (244 lb; 17 st 6 lb),Heavyweight,82 in (208 cm)[3],Not Available
Lauren Murphy,"Lauren Smith (1983-07-27) July 27, 1983 (age 35)Anchorage, Alaska, U.S.",5 ft 7 in (1.70 m)[1],135 lb (61 kg; 9.6 st),FeatherweightBantamweight  Flyweight,Not Available,"Boxing, Brazilian Jiu-Jitsu"
Gleison Tibau,"Janigleison Herculano Alves (1983-07-10) July 10, 1983 (age 36)Tibau, Rio Grande do Norte, Brazil",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight (1999-2018) Welterweight (2018-present),70 in (178 cm)[1],Not Available
Johnny Eduardo,"(1978-08-03) August 3, 1978 (age 40)Rio de Janeiro, Brazil",5 ft 8 in (1.73 m),135 lb (61 kg; 9.6 st),Bantamweight,71 in (180 cm)[1],Not Available
Mads Burnell,"Mads Zerahn Burnell (1994-03-06) March 6, 1994 (age 25)Husum, Denmark[1]",5 ft 8 in (1.73 m),66 kg (146 lb; 10 st 6 lb),Featherweight,69 in (175 cm)[2],Not Available
Eric Spicely,"(1986-09-29) September 29, 1986 (age 32)Stoughton, Massachusetts, United States",6 ft 2 in (1.88 m)[1],185 lb (84 kg; 13.2 st),Middleweight  Light Heavyweight  Welterweight,73 in (185 cm),Not Available
Tom Breese,"(1991-09-26) 26 September 1991 (age 27)Birmingham, England",6 ft 3 in (1.91 m),170.5 lb (77 kg; 12 st 3 lb),MiddleweightWelterweight,73 in (185 cm)[1],Not Available
Dan Kelly,"Daniel Thomas Kelly[1] (1977-10-31) 31 October 1977 (age 41)Melbourne, Australia",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st)[2],Middleweight,73 in (185 cm),Judo
Brad Scott,"Bradley Scott (1989-06-22) 22 June 1989 (age 30)Bath, Somerset, England",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),MiddleweightWelterweight,76 in (193 cm),Not Available
Diego Rivas,"(1991-11-11) November 11, 1991 (age 27)Cholchol, Temuco, Chile",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),Featherweight  Bantamweight,69 in (175 cm),Not Available
Brandon Moreno,"Brandon Moreno (1993-12-07) December 7, 1993 (age 25)Tijuana, Baja California, Mexico",5 ft 7 in (1.70 m),125 lb (57 kg; 8.9 st),Flyweight,70 in (178 cm)[1],Not Available
Gabriel Benítez,"(1988-06-15) 15 June 1988 (age 31)Tijuana, Baja California, Mexico",5 ft 8 in (1.73 m),70 kg (154 lb; 11 st 0 lb),Featherweight,71 in (180 cm)[1],"Boxing, BJJ"
Henry Briones,"Enrique Briones[1] (1980-10-22) October 22, 1980 (age 38)Tijuana, Baja California, Mexico[2]",5 ft 7 in (1.70 m),61 kg (134 lb; 9 st 8 lb),Bantamweight,69 in (175 cm),"Boxing, BJJ"
Mackenzie Dern,"Mackenzie Lynne Dern (1993-03-24) March 24, 1993 (age 26)Phoenix, Arizona, U.S.",5 ft 3 in (1.60 m),123 lb (56 kg; 8 st 11 lb),Strawweight,Not Available,Brazilian Jiu-Jitsu
Lyoto Machida,"Lyoto Carvalho Machida (1978-05-30) 30 May 1978 (age 41)Salvador, Bahia, Brazil",6 ft 1 in (1.85 m)[1],185 lb (84 kg; 13 st 3 lb),"Openweight (2005)  Light Heavyweight (2003–2013, 2019)  Middleweight (2013–present)",74 in (190 cm)[2],"Shotokan Karate, Muay Thai, Sumo, Brazilian Jiu-Jitsu"
Vitor Belfort,"Vítor Vieira Belfort (1977-04-01) 1 April 1977 (age 42)Rio de Janeiro, Brazil",6 ft 0 in (1.83 m)[1],185 lb (84 kg; 13 st 3 lb),"Middleweight (2008–2018)Light heavyweight (1998–2007, 2012, 2013)Heavyweight (265 lbs) (1996–1997, 2001)",74 in (188 cm)[1],Not Available
Alberto Mina,"(1982-05-02) May 2, 1982 (age 37)Campina Grande, Paraiba, Brazil",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,77 in (196 cm)[1],Brazilian Jiu-Jitsu
Frankie Edgar,"Frank James Edgar (1981-10-16) October 16, 1981 (age 37)Toms River, New Jersey, U.S.",5 ft 6 in (1.68 m),145 lb (66 kg; 10 st 5 lb),Featherweight (2013–present)Lightweight (2005–2012),68 in (173 cm)[1],"Boxing, Wrestling, Brazilian Jiu-Jitsu, Muay Thai"
Luan Chagas,"(1993-06-17) June 17, 1993 (age 26)Navirai, Mato Grosso do Sul, Brazil[1][2]",5 ft 11 in (1.80 m),168 lb (76 kg; 12 st 0 lb),Welterweight,75 in (191 cm)[2],Not Available
Antônio Carlos Júnior,"Antônio Carlos Coelho de Figueiredo Barbosa Júnior (1990-03-16) March 16, 1990 (age 29)João Pessoa, Paraíba, Brazil",6 ft 1 in (185 cm),185 lb (84 kg; 13 st 3 lb),Heavyweight (2013– 2014) Light Heavyweight (2014) Middleweight (2015-present),79 in (201 cm)[1],"Brazilian Jiu-Jitsu , Muay Thai"
Muslim Salikhov,"Muslim Magomedovich Salikhov (1984-06-09) June 9, 1984 (age 35)Makhachkala, Dagestan ASSR, USSR",Not Available,170 lb (77 kg; 12 st 2 lb),Welterweight,Not Available,"Sanda, Changquan, Kickboxing, Shuai Jiao"
Yushin Okami,"(1981-07-21) July 21, 1981 (age 37)Kanagawa, Japan",6 ft 2 in (1.88 m)[1],185 lb (84 kg; 13 st 3 lb),Light HeavyweightMiddleweightWelterweight,75 in (191 cm),Not Available
Matthew Lopez,"(1987-01-21) January 21, 1987 (age 32)Safford, Arizona, United States",5 ft 7 in (1.70 m),61 kg (134 lb; 9 st 8 lb),Bantamweight,69 in (175 cm),"Wrestling, Boxing, BJJ"
Patrick Williams,"(1981-09-07) September 7, 1981 (age 37)Miami, Florida, United States",5 ft 8 in (1.73 m)[1],135 lb (61 kg; 9.6 st),Featherweight Bantamweight,72 in (183 cm),Not Available
Khabib Nurmagomedov,"Khabib Abdulmanapovich Nurmagomedov (1988-09-20) 20 September 1988 (age 30)Sildi, Dagestan ASSR, Russian SFSR, Soviet Union",5 ft 10 in (178 cm),155 lb (70 kg; 11 st 1 lb)[1],Lightweight (2008–present)  Welterweight (2009–2011),70 in (178 cm)[2],"Sambo, Judo, Grappling"
Chris Gruetzemacher,"(1986-06-16) June 16, 1986 (age 33)Page, Arizona, United States[1]",5 ft 8 in (1.73 m),155.0 lb (70.3 kg; 11.07 st),Lightweight Featherweight,68 in (173 cm),Not Available
Joe Lauzon,"Joseph Edward Lauzon Jr. (1984-05-22) May 22, 1984 (age 35)Brockton, Massachusetts, U.S.",5 ft 10 in (178 cm)[1],155 lb (70 kg; 11 st 1 lb),Lightweight,71 1⁄2 in (182 cm),"Brazilian Jiu-Jitsu, Boxing"
Bec Rawlings,"Rebecca Rawlings (1989-02-11) 11 February 1989 (age 30)Launceston, Tasmania, Australia",5 ft 6 in (1.68 m),117 lb (53 kg; 8.4 st),Flyweight,Not Available,Not Available
Fabrício Werdum,"(1977-07-30) 30 July 1977 (age 41)Porto Alegre, Brazil",6 ft 4 in (193 cm)[1],249 lb (113 kg; 17 st 11 lb),Heavyweight,77 in (196 cm)[2],Brazilian Jiu-Jitsu
Tom Duquesnoy,"(1993-06-21) June 21, 1993 (age 26)Lens, France",5 ft 7 in (1.70 m)[1],135 lb (61 kg; 9 st 9 lb),Bantamweight (2016–2019)  Featherweight (2012–2015),Not Available,Not Available
Peter Sobotta,"(1987-01-11) January 11, 1987 (age 32)Zabrze, Poland",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,75 in (191 cm)[1],Not Available
Sean O’Malley,"(1994-10-24) October 24, 1994 (age 24)Helena, Montana, United States",5 ft 11 in (1.80 m),135 lb (61 kg; 9 st 9 lb),Bantamweight,72[1] in (183 cm),Not Available
Ketlen Vieira,"(1991-08-26) August 26, 1991 (age 27)Manaus, Amazonas, Brazil[1]",5 ft 8 in (1.73 m),61 kg (134 lb; 9 st 8 lb),Bantamweight,Not Available,"Judo, Kickboxing, Brazilian Jiu-Jitsu, Wrestling"
C.B. Dollaway,"(1983-08-10) August 10, 1983 (age 35)Battle Creek, Michigan, United States",6 ft 2 in (1.88 m),205 lb (93 kg; 14.6 st),Middleweight Light Heavyweight  (current),76 in (193 cm)[1],Not Available
Mike Pyle,"Michael Wayne Pyle (1975-09-18) September 18, 1975 (age 43)Dresden, Tennessee, United States",6 ft 1 in (1.85 m)[1],170 lb (77 kg; 12 st 2 lb),Welterweight,74.0 in (188 cm)[2],Not Available
Adam Milstead,"(1987-07-03) July 3, 1987 (age 32)Calvert, Maryland, U.S.",6 ft 3 in (1.91 m),93 kg (205 lb; 14 st 9 lb),Heavyweight Light Heavyweight,76 in (193 cm),Not Available
Sara McMann,"(1980-09-24) September 24, 1980 (age 38)Takoma Park, Maryland, U.S.",5 ft 6 in (1.68 m)[1],135 lb (61 kg; 9.6 st),Bantamweight,66[2] in (168 cm)[3],"Freestyle Wrestling, Kickboxing"
Russell Doane,"(1986-08-13) August 13, 1986 (age 32)Honolulu, Hawaii",5 ft 7 in (1.70 m)[1],135 lb (61 kg; 9.6 st),Bantamweight,70.0 in (178 cm),Not Available
Albert Morales,"Albert Franklin Morales Blacutt[1] (1991-05-25) May 25, 1991 (age 28)Los Angeles, California, United States",5 ft 9 in (1.75 m),135 lb (61 kg; 9.6 st),Bantamweight,72 in (183 cm)[2],Not Available
Josh Burkman,"(1980-04-10) April 10, 1980 (age 39)Salt Lake City, Utah, United States",5 ft 10 in (1.78 m)[1],170 lb (77 kg; 12 st),MiddleweightWelterweightLightweight,72.0 in (183 cm)[1],Wrestling
Cyril Asker,"(1985-12-24) December 24, 1985 (age 33)Sorgues, France",6 ft 2 in (1.88 m),243.5 lb (110.4 kg; 17.39 st),Heavyweight,74 in (188 cm),Not Available
Dong Hyun Ma,"Kim Dong-hyun (1988-09-09) September 9, 1988 (age 30)Pusan, South Korea",5 ft 11 in (1.80 m),155 lb (70 kg; 11 st 1 lb),Lightweight,70 in (178 cm),"Judo, Boxing, Taekwondo"
Damien Brown,"(1984-12-25) 25 December 1984 (age 34)[1]Albury, Australia",5 ft 10 in (1.78 m)[3],71 kg (157 lb; 11 st 3 lb),WelterweightLightweight,68.5 in (174 cm),Not Available
Rob Wilkinson,"(1992-02-22) 22 February 1992 (age 27)Hobart, Tasmania, Australia[1]",6 ft 2 in (1.88 m),83 kg (183 lb; 13 st 1 lb),Middleweight,76 in (193 cm),Not Available
